name,biography,photo,birth_date,death_date,nationality
Gustave Le Bon,"Nhà tâm lý học xã hội, xã hội học người Pháp. Tác phẩm 'Tâm lý học đám đông' của ông được coi là nền tảng của ngành tâm lý học đám đông.",,,1931-12-13,Pháp
H. P. Lovecraft,"Nhà văn kinh dị người Mỹ, cha đẻ của vũ trụ 'Cthulhu Mythos'. Các tác phẩm của ông mang màu sắc kinh dị vũ trụ (cosmic horror) đầy ám ảnh.",,,1937-03-15,Hoa Kỳ
HONDA Yukari,Tác giả/Họa sĩ truyện tranh Nhật Bản (Thông tin chi tiết đang cập nhật).,,,,Nhật Bản
Hachun Lyonnet,(Hà Chũn) Tác giả nổi tiếng với bộ sách 'Nuôi con không phải là cuộc chiến'. Bà hiện sống tại Pháp và chia sẻ nhiều kiến thức khoa học về nuôi dạy trẻ.,,,,Việt Nam
Hae Min,"Đại sư Hae Min, giáo sư đại học và nhà văn Hàn Quốc. Tác giả cuốn sách chữa lành nổi tiếng 'Bước chậm lại giữa thế gian vội vã'.",,1973-12-12,,Hàn Quốc
Hajime Isayama,"Họa sĩ truyện tranh Nhật Bản, tác giả của bom tấn toàn cầu 'Attack on Titan' (Đại chiến Titan). Tác phẩm của ông nổi tiếng với cốt truyện đen tối và phức tạp.",,1986-08-29,,Nhật Bản
Han Kang,"Nhà văn Hàn Quốc, giải Nobel Văn học 2024. Bà nổi tiếng với phong cách văn chương đầy ám ảnh và giàu chất thơ, tiêu biểu là tiểu thuyết 'Người ăn chay'.",,1970-11-27,,Hàn Quốc
Hanekoto,"Họa sĩ minh họa người Nhật Bản, nổi tiếng với phong cách vẽ nhân vật nữ tinh tế, nhẹ nhàng trong các tiểu thuyết nhẹ (light novel) như 'Thiên sứ nhà bên'.",,,,Nhật Bản
Hanna Byun,"Họa sĩ minh họa Hàn Quốc, chuyên vẽ tranh minh họa cho sách thiếu nhi và các ấn phẩm văn hóa.",,,,Hàn Quốc
Harriet Beecher Stowe,"Nhà văn Mỹ, người ủng hộ bãi nô. Tác giả cuốn 'Túp lều bác Tom', tác phẩm đã góp phần thay đổi lịch sử nước Mỹ và dẫn đến cuộc Nội chiến.",,,,Hoa Kỳ
Haruki Murakami,"Nhà văn Nhật Bản đương đại nổi tiếng nhất thế giới. Tác giả của 'Rừng Na Uy', 'Kafka bên bờ biển' với phong cách hiện thực huyền ảo độc đáo.",,1949-12-01,,Nhật Bản
Harvard Business Review,"(HBR) Tạp chí quản trị kinh doanh hàng đầu thế giới, xuất bản bởi Đại học Harvard. Các cuốn sách HBR tập hợp những bài viết tinh hoa nhất về lãnh đạo và chiến lược.",,,,Hoa Kỳ
Hayashi Akiko,Họa sĩ và tác giả sách tranh Nhật Bản được yêu thích nhất. Các tác phẩm của bà như 'Miko và đôi giày đỏ' rất gần gũi với thế giới trẻ thơ.,,,,Nhật Bản
Hazel Maskell,Tác giả và biên tập viên sách thiếu nhi của nhà xuất bản Usborne. Bà chuyên viết các cuốn sách kiến thức khoa học và lịch sử vui nhộn.,,,,Anh
Heath McKenzie,Họa sĩ minh họa và tác giả sách thiếu nhi người Úc. Ông đã minh họa cho hàng trăm cuốn sách với phong cách hài hước và biểu cảm.,,,,Úc
Heather Darwall-Smith,Chuyên gia trị liệu tâm lý giấc ngủ người Anh. Tác giả cuốn 'The Science of Sleep' giúp giải mã các vấn đề về giấc ngủ.,,,,Anh
Heather Morris,Nhà văn người New Zealand sống tại Úc. Tác giả của tiểu thuyết lịch sử bán chạy toàn cầu 'Thợ xăm hình ở Auschwitz'.,,1953-01-01,,New Zealand
Hector Malot,"Nhà văn Pháp, tác giả cuốn 'Không gia đình' - tiểu thuyết giáo dục kinh điển về lòng dũng cảm, tình người và ý chí vươn lên.",,,,Pháp
Heidi Murkoff,Tác giả bộ sách cẩm nang thai giáo nổi tiếng nhất thế giới 'What to Expect When You're Expecting' (Khi bạn đang mong chờ một em bé).,,1958-11-28,,Hoa Kỳ
Henry A. Kissinger,"Cựu Ngoại trưởng Hoa Kỳ, giải Nobel Hòa bình 1973. Ông là một trong những nhà ngoại giao và chiến lược gia có ảnh hưởng nhất thế kỷ 20.",,1923-05-27,2023-11-29,Hoa Kỳ
Henry David Thoreau,"Nhà văn, triết gia Mỹ. Tác giả cuốn 'Walden' (Một mình sống trong rừng), cổ vũ lối sống đơn giản, hòa mình với thiên nhiên và tự do tư tưởng.",,,,Hoa Kỳ
Heriberto Araujo,"Nhà báo điều tra, tác giả người Tây Ban Nha. Ông chuyên viết về các vấn đề kinh tế, xã hội và sự trỗi dậy của Trung Quốc trên trường quốc tế.",,1983-01-01,,Tây Ban Nha
Hermann Hesse,"Nhà văn Đức, giải Nobel Văn học 1946. Tác giả của 'Sói thảo nguyên', 'Siddhartha'. Tác phẩm của ông đi sâu vào nội tâm, tâm linh và sự tìm kiếm bản ngã.",,,1962-09-08,Đức
Hermawan Kartajaya,"Chuyên gia marketing hàng đầu châu Á, người sáng lập MarkPlus, Inc. Ông là đồng tác giả của nhiều cuốn sách marketing kinh điển cùng Philip Kotler.",,1947-11-18,,Indonesia
Hi Di Trần Đoàn,(Trần Đoàn Lão Tổ) Đạo sĩ nổi tiếng thời Tống (Trung Quốc). Ông được coi là ông tổ của môn Tử Vi Đẩu Số và có ảnh hưởng lớn đến Đạo giáo.,,,,Trung Quốc
Higashino Keigo,"Nhà văn trinh thám hàng đầu Nhật Bản. Tác giả của 'Bạch dạ hành', 'Phía sau nghi can X'. Ông nổi tiếng với khả năng miêu tả tâm lý tội phạm sâu sắc.",,1958-04-02,,Nhật Bản
Hirai Etsuko,Tác giả sách ehon (sách tranh) cho trẻ em người Nhật Bản. Bà thường viết về các chủ đề giáo dục kỹ năng sống và thói quen tốt cho bé.,,,,Nhật Bản
Hirata Haruka,"Họa sĩ minh họa người Nhật Bản, chuyên vẽ tranh cho các cuốn sách thiếu nhi và tạp chí văn học.",,,,Nhật Bản
Hiromi Okuda,Chuyên gia tư vấn tâm lý và tác giả sách người Nhật. Bà chuyên viết về các vấn đề tâm lý trong công sở và nghệ thuật giao tiếp.,,,,Nhật Bản
Hiromi Shinya,Bác sĩ phẫu thuật nội soi nổi tiếng thế giới người Nhật. Tác giả bộ sách 'Nhân tố Enzyme' (The Enzyme Factor) về phương pháp sống khỏe không cần thuốc.,,1935-06-03,2021-09-12,Nhật Bản
Hiromu Arakawa,"Họa sĩ truyện tranh Nhật Bản, tác giả của kiệt tác 'Fullmetal Alchemist' (Giả kim thuật sư). Bà nổi tiếng với khả năng xây dựng thế giới và cốt truyện chặt chẽ.",,1973-08-05,,Nhật Bản
Hiroyuki Sasahara,Giáo sư ngôn ngữ học tại Đại học Waseda. Ông là chuyên gia về chữ Hán (Kanji) và văn hóa Nhật Bản.,,1965-01-01,,Nhật Bản
Hiten Patel,Tác giả và chuyên gia công nghệ. Ông viết về các xu hướng công nghệ mới và tác động của chúng đến kinh doanh.,,,,Anh
Hitoshi Iwaaki,"Họa sĩ truyện tranh Nhật Bản, tác giả của bộ manga kinh dị - khoa học viễn tưởng nổi tiếng 'Parasyte' (Kiseijuu).",,1960-07-28,,Nhật Bản
Hitsuji Gondaira,"Họa sĩ truyện tranh Nhật Bản, tác giả của bộ manga 'Yozakura Family' (Gia đình điệp viên Yozakura) và 'Poro's Foreign Exchange'.",,,,Nhật Bản
Hiếu Minh,Dịch giả hoặc tác giả sách kỹ năng sống/văn hóa Việt Nam (Cần xác định rõ tác phẩm cụ thể).,,,,Việt Nam
Hoa Dương,Tác giả tiểu thuyết ngôn tình hoặc văn học mạng Trung Quốc.,,,,Trung Quốc
Holger Rathgeber,"Tác giả người Đức, đồng tác giả cuốn sách ngụ ngôn kinh doanh nổi tiếng 'Tảng băng tan' (Our Iceberg Is Melting) cùng John Kotter.",,1970-01-01,,Đức
Hòa thượng Tịnh Không,Cao tăng Phật giáo Tịnh độ tông người Trung Quốc. Ngài nổi tiếng với các bài giảng pháp được lan truyền rộng rãi khắp thế giới.,,1927-03-13,2022-07-26,Trung Quốc
Hoài Chân,Nhà phê bình văn học Việt Nam. Ông nổi tiếng nhất với vai trò đồng tác giả cuốn 'Thi nhân Việt Nam' - công trình nghiên cứu xuất sắc về phong trào Thơ mới.,,1914-01-01,2004-01-01,Việt Nam
Hoài Thanh,Nhà phê bình văn học xuất sắc của Việt Nam thế kỷ 20. Tác phẩm 'Thi nhân Việt Nam' của ông (viết cùng Hoài Chân) là công trình phê bình thơ mới kinh điển.,,1909-07-15,1982-03-14,Việt Nam
Hoàng Hải Vân,"Nhà báo kỳ cựu, cây bút phóng sự điều tra nổi tiếng. Tác giả cuốn sách 'Ông tướng tình báo và hai bà vợ' viết về điệp viên Phạm Xuân Ẩn.",,,,Việt Nam
Hoàng Khải Đoàn,"Doanh nhân, chuyên gia huấn luyện đầu tư bất động sản thực chiến. Chủ tịch Câu lạc bộ Bất động sản Hà Nội.",,,,Việt Nam
Hoàng Mạnh Hải,"Tác giả chuyên viết về các chủ đề kỹ thuật, công nghệ hoặc kỹ năng nghề nghiệp.",,,,Việt Nam
Hoàng Nam Tiến,"Doanh nhân, diễn giả truyền cảm hứng và chuyên gia công nghệ. Ông từng là Chủ tịch FPT Software, FPT Telecom và hiện là Phó Chủ tịch Hội đồng trường Đại học FPT.",,,,Việt Nam
Hoàng Ngân,"(Phạm Thị Vân) Nữ chiến sĩ cách mạng kiên trung, Bí thư Trung ương Hội Phụ nữ cứu quốc đầu tiên. Tên bà được đặt cho nhiều con đường và trường học.",,1921-01-01,1949-07-17,Việt Nam
Hoàng Thạch Công,"Nhà nghiên cứu phong thủy và văn hóa phương Đông. Tác giả các sách về lịch vạn sự, xem ngày tốt xấu.",,,,Việt Nam
Hoàng Trung Dũng,"Tiến sĩ Luật, doanh nhân và chuyên gia đào tạo doanh nghiệp. Ông là Chủ tịch Tổ chức Giáo dục Kingsman và tác giả nhiều sách về lãnh đạo, bán hàng.",,1971-05-21,,Việt Nam
Hoàng Tố Mai,"Tiến sĩ văn học, nhà nghiên cứu tại Viện Văn học. Bà chuyên sâu về lý thuyết văn học và văn học so sánh.",,,,Việt Nam
Hoàng Yến,"Danh sĩ, nhà nghiên cứu âm nhạc truyền thống Huế. Ông có công lớn trong việc bảo tồn và ký âm nhã nhạc cung đình Huế theo phương pháp phương Tây.",,,,Việt Nam
Hoàng Đạo Thúy,"Nhà văn hóa, nhà giáo dục và thủ lĩnh phong trào Hướng đạo Việt Nam. Ông để lại nhiều tác phẩm có giá trị về lịch sử, văn hóa Hà Nội và giáo dục thanh thiếu niên.",,1900-01-01,1994-02-14,Việt Nam
Hubert Seipel,"Nhà báo, nhà làm phim tài liệu người Đức. Ông nổi tiếng (và gây tranh cãi) với các tác phẩm viết về nước Nga và Tổng thống Putin.",,1950-01-01,,Đức
Human Moments,"(Tên tổ chức/Nhóm tác giả) Chuyên xuất bản các nội dung về tâm lý, chữa lành và phát triển con người.",,,,
Huyền Trang,"(Đường Tam Tạng) Cao tăng, dịch giả vĩ đại thời Đường (Trung Quốc). Cuộc hành trình thỉnh kinh của ngài là cảm hứng cho tác phẩm Tây Du Ký.",,,,Trung Quốc
Huỳnh Bá Lộc,"Tác giả trẻ chuyên viết về kỹ năng sống, truyền cảm hứng cho giới trẻ.",,,,Việt Nam
Huỳnh Ngọc Chiến,"Học giả, nhà nghiên cứu Phật học và văn hóa phương Đông. Ông có nhiều bài viết sâu sắc về Kim Dung, Thiền tông và triết học.",,,,Việt Nam
Huỳnh Wynn Trần,"(Dr. Wynn Tran) Bác sĩ y khoa người Mỹ gốc Việt, giảng viên đại học và YouTuber nổi tiếng. Tác giả sách chia sẻ kiến thức y khoa thường thức cho cộng đồng.",,,,Hoa Kỳ
Hwang Jeong-Hoon,Tác giả/Họa sĩ truyện tranh Hàn Quốc (Thông tin chi tiết đang cập nhật).,,,,Hàn Quốc
Hà Minh,"Dịch giả uy tín, người chuyển ngữ nhiều tác phẩm văn học và sách thiếu nhi sang tiếng Việt.",,,,Việt Nam
Hà Mạt Bì,"Tác giả văn học mạng Trung Quốc, nổi tiếng với các tiểu thuyết ngôn tình hài hước, sủng ngọt.",,,,Trung Quốc
Hà Nham,"Tác giả văn học trung đại Việt Nam, nổi tiếng với các tác phẩm truyền kỳ và văn xuôi lịch sử.",,,,Việt Nam
Hà Thanh Uyên,"Dịch giả uy tín, chuyên chuyển ngữ các tác phẩm văn học phương Tây và sách thiếu nhi sang tiếng Việt.",,,,Việt Nam
Hòa Thượng Tịnh Không,(Xem Hòa thượng Tịnh Không) Cao tăng Phật giáo Tịnh độ tông người Trung Quốc.,,1927-03-13,2022-07-26,Trung Quốc
Hạ Manh,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,Việt Nam
Hạ Mer,"Tác giả trẻ Việt Nam, được yêu thích với những cuốn tản văn, thơ nhẹ nhàng và sâu lắng về tình yêu, tuổi trẻ.",,,,Việt Nam
Hạ Thiên,Tác giả/Dịch giả chuyên về dòng sách ngôn tình hoặc văn học mạng.,,,,Trung Quốc
Hạo Nhiên,(Có thể là Mạnh Hạo Nhiên) Nhà thơ nổi tiếng thời Đường (Trung Quốc) hoặc bút danh của các tác giả Việt Nam chuyên viết về Phật giáo.,,,,
Hải Nam,"Dịch giả/Tác giả Việt Nam. Ông thường tham gia biên soạn và dịch thuật các sách về lịch sử, văn hóa và kiến thức phổ thông.",,,,Việt Nam
Học Viện Văn Họa AIGC,Tổ chức giáo dục và nghiên cứu chuyên sâu về ứng dụng Trí tuệ nhân tạo (AI) trong sáng tạo nghệ thuật và thiết kế.,,,,Trung Quốc
Hồ Văn Hùng,"Tác giả chuyên viết về các chủ đề kỹ thuật, giáo dục hoặc văn hóa địa phương.",,,,Việt Nam
Hồ Công Hoài Phương,Chuyên gia quảng cáo và truyền thông. Tác giả cuốn sách 'Quảng cáo không nói láo' rất được giới marketing yêu thích.,,,,Việt Nam
Hồ Nguyên Trừng,"Nhà kỹ thuật quân sự lỗi lạc, con trai cả của Hồ Quý Ly. Ông được coi là ông tổ của nghề đúc súng thần công tại Việt Nam và Trung Quốc.",,,,Việt Nam
Hồ Thuyết Tân Ngữ,(Có thể là tên tác phẩm 'Thuyết Uyển' hoặc bút danh). Tên gọi gợi nhắc đến các tác phẩm văn học cổ điển Trung Hoa.,,,,Trung Quốc
Hồng Phúc,"Dịch giả lâu năm tại Việt Nam, người đã chuyển ngữ thành công nhiều tác phẩm văn học kinh điển và sách kỹ năng sống.",,,,Việt Nam
Hữu Thư,"Dịch giả/Biên tập viên chuyên nghiệp, thường tham gia vào các dự án sách văn học và khoa học xã hội.",,,,Việt Nam
Isak Dinesen,"(Karen Blixen) Nữ văn sĩ người Đan Mạch, tác giả cuốn hồi ký nổi tiếng 'Xa mãi Phi châu' (Out of Africa). Bà từng nhiều lần được đề cử giải Nobel Văn học.",,,1962-07-09,Đan Mạch
Iba Masayasu,"Nhà giáo dục, tác giả người Nhật Bản. Ông chuyên viết các sách hướng dẫn kỹ năng lãnh đạo và quản lý dành cho cấp trung.",,,,Nhật Bản
Ibuka Masaru,"Doanh nhân huyền thoại người Nhật, đồng sáng lập tập đoàn Sony. Ông cũng là tác giả cuốn sách giáo dục sớm nổi tiếng 'Chờ đến mẫu giáo thì đã muộn'.",,1908-11-04,1997-12-19,Nhật Bản
Ichikawa Takuji,Nhà văn Nhật Bản chuyên viết tiểu thuyết lãng mạn. Các tác phẩm của ông như 'Em sẽ đến cùng cơn mưa' thường mang màu sắc kỳ ảo và nỗi buồn man mác.,,1962-07-10,,Nhật Bản
Ihaleakala Hew Len,"Tiến sĩ, nhà trị liệu tâm lý người Hawaii. Ông nổi tiếng với việc phổ biến phương pháp chữa lành Ho'oponopono (Xin lỗi, Cảm ơn, Thương lắm, Tôi yêu bạn).",,1939-01-04,2022-01-15,Hoa Kỳ
Ikegami Akira,"Nhà báo, bình luận viên truyền hình nổi tiếng Nhật Bản. Ông chuyên giải thích các vấn đề kinh tế, chính trị phức tạp một cách dễ hiểu cho công chúng.",,1950-09-08,,Nhật Bản
Ili Tenjou,"Họa sĩ minh họa người Nhật, nổi tiếng với các tác phẩm nghệ thuật theo phong cách cổ điển, lãng mạn và các bộ bài Tarot.",,,,Nhật Bản
Inamori Kazuo,"Doanh nhân huyền thoại người Nhật, người sáng lập Kyocera và KDDI. Ông nổi tiếng với triết lý kinh doanh 'Triết học Inamori' và cuốn 'Cách sống'.",,1932-01-21,2022-08-24,Nhật Bản
Ishihara Yumi,Bác sĩ y học tự nhiên người Nhật. Tác giả của nhiều cuốn sách về phương pháp làm ấm cơ thể để chữa bệnh và tăng cường miễn dịch.,,1948-01-01,,Nhật Bản
Iwan Setiawan,"Chuyên gia tư vấn chiến lược, CEO của MarkPlus, Inc. Ông là đồng tác giả của các cuốn sách Marketing đình đám (3.0, 4.0, 5.0) cùng Philip Kotler.",,,,Indonesia
